temp,humidity,precip,windspeed,sealevelpressure,solarradiation
17,64.7,0.022,25.2,1024.5,213.6
18.3,53,0,24.9,1021.9,311.8
20.2,55.7,0,23.9,1017.5,312.7
20.4,44.5,0,21.3,1015.2,320.6
20.7,48.7,0,24.8,1016.4,332.4
19.2,64.4,0,28.8,1018.5,141.6
20.8,61.5,0,14.6,1015.4,262.8
18.9,70.8,0,27.6,1012.1,118.4
17.5,72.6,0,17.6,1013,151.4
17.2,73.9,0,24.5,1015.5,195.8
16.5,57.7,0,25.4,1019.9,308.4
17.7,54.2,0,29.7,1022,346.8
19.5,58.2,0,24.8,1021.7,304.4
20,57.5,0,24.9,1021.7,298.4
19.8,58.9,0,21.5,1020.1,251.8
20.5,51,0,24.9,1020,291.3
22.8,44.7,0,25.9,1020.1,321.4
22.2,55.3,0,25.3,1017.5,230.5
20.1,70.8,0,14.5,1015,142.9
20.5,71.8,0,22.1,1015.4,216.5
21.2,68.3,0,28.1,1018.2,277
22.3,64.6,0,18.2,1018.3,277.3
22.2,64.8,0,21.6,1014,265.8
19.3,79,0.094,21.3,1012.1,221.1
18.2,81.7,2.066,21.5,1012.2,71.2
17.2,74.1,0.013,25.2,1013.7,201.1
17.3,73,2.319,21.5,1017.1,274.8
18.3,73.3,7.13,22.9,1014.2,251.7
18.6,69.6,0.012,18.1,1015.6,274.3
18.6,67.7,0,25.7,1018.6,190.5
20.1,59.1,0,24.2,1018.5,336.5
23.6,44.9,0,21,1017.4,330.6
25.4,40.5,0,21,1016.4,327.8
21.1,61.4,0,17.8,1016.6,189
18.7,66.3,0,18.2,1018.2,240.7
18.4,60.3,0,29.9,1020.7,298.7
18.2,61.4,0,27.4,1019.9,328
19.2,63,0,21.2,1017.3,191.6
20.5,59.9,0,18.1,1017.8,322.8
21.7,56.5,0,24.4,1018.6,326
20.9,81.2,0.298,20.8,1019.2,236.4
21.7,65.2,0,21.9,1019.9,324.7
21.1,75.1,0,16.2,1017.8,204.4
20.1,68.8,0.095,18,1017.4,217.6
19.6,63.7,0,27.8,1021.1,299
20.3,59.6,0,28.5,1021.7,302.8
23.4,49.8,0,26,1017.9,324.6
27,39.5,0,24.6,1014.4,312.5
